earnings_30mo,enrolled,offer,age2225,age2629,age3035,age3644,age4554,married,hsorged,prior_employment_status,black,hispanic,male,afdc,class_tr,ojt_jsa
4038,1,1,0,0,0,1,0,Married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,0
13892,1,0,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,1,1,0
14598,0,0,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,0,0,0,1
439,1,1,0,1,0,0,0,Not married,Unknown,Worked less than 13 weeks in prior year,0,0,0,1,0,1
9794,0,0,0,1,0,0,0,Not married,Diploma/GED,Unknown,0,1,1,0,0,0
20609,1,1,1,0,0,0,0,Married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,1
37644,0,0,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,1,0,1,1,0
21219,0,1,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,0,1
9747,0,0,0,0,0,0,1,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
0,0,0,0,0,0,0,1,Not married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,0,1
0,0,1,0,0,0,0,1,Not married,Diploma/GED,Unknown,1,0,0,1,0,0
31196,1,1,0,0,1,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,0,1
34728,0,0,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,0,0,1,0
126,0,0,0,0,1,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,0,0
1763,1,1,0,0,0,1,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
0,0,0,1,0,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,1,0
3541,1,1,0,0,0,0,1,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,1,0,1
7028,1,1,0,1,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,1,0,0,0,1,0
4506,1,1,1,0,0,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,0,1,1,0,0,1
2203,1,1,0,0,1,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
3765,0,0,1,0,0,0,0,Married,Unknown,Worked 13 weeks or more in prior year,1,0,1,0,0,1
5475,1,1,0,1,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,1,0
12394,0,0,0,1,0,0,0,Unknown,No diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,0,0
8372,1,1,0,0,0,1,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,0,1
11018,1,1,0,0,1,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,1
1109,0,0,0,0,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,1
75,0,0,0,0,0,1,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,1,1,0,0,1
26944,0,0,0,0,1,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,1,0,0,1,0,1
2787,0,0,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,0,0,0,1
11832,1,1,1,0,0,0,0,Not married,Unknown,Worked less than 13 weeks in prior year,1,0,1,0,0,0
8127,1,1,0,0,0,1,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
9579,0,0,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,0
26525,0,0,1,0,0,0,0,Married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,0
8860,1,1,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,0,1
43596,1,1,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
48727,1,1,0,0,1,0,0,Not married,Diploma/GED,Unknown,1,0,1,0,0,1
28029,1,1,0,0,1,0,0,Married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,1
20865,0,0,0,0,1,0,0,Unknown,No diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,1,0
56089,1,1,0,1,0,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,0,1
16042,1,1,0,0,0,0,1,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,0
4310,0,1,0,0,0,1,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,1,1,0,0,1
2952,0,1,0,0,0,1,0,Unknown,No diploma/GED,Worked less than 13 weeks in prior year,0,1,0,1,0,0
23830,1,1,0,0,0,1,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,0,0,1,0
13871,0,1,0,1,0,0,0,Unknown,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,1,0,1
9962,1,1,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,1,0
14459,0,1,1,0,0,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,0
3721,0,0,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
6261,0,1,1,0,0,0,0,Married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,0,1,0,1
35676,0,0,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,0
12758,0,1,0,0,0,1,0,Unknown,Diploma/GED,Worked less than 13 weeks in prior year,0,1,0,1,0,0
0,0,0,1,0,0,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,0,1
9003,1,1,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
24135,0,0,0,1,0,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,0,0
2612,0,0,1,0,0,0,0,Married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,1,0
698,0,1,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
141,0,1,1,0,0,0,0,Married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,1
34593,0,1,0,0,1,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,0,1
17171,0,0,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,0,0
252,0,0,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
10840,1,1,1,0,0,0,0,Unknown,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
0,0,0,1,0,0,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,1,0
0,1,1,1,0,0,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,0
27431,0,1,1,0,0,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
0,0,0,0,0,0,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,0
0,1,1,0,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
0,0,0,0,0,1,0,0,Unknown,Diploma/GED,Worked less than 13 weeks in prior year,0,1,0,1,0,0
30,0,1,0,0,1,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,1
1929,0,1,0,0,0,1,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,1
0,0,1,0,0,0,1,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,1
90483,1,1,0,0,1,0,0,Unknown,Diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,1,0
2940,0,1,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,0,0
19344,0,0,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,1,0,1
3900,1,1,1,0,0,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,0,1,0,0,0,0
47184,0,1,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,0,0,0,0
1008,0,0,0,0,1,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,1,0
3830,1,1,0,0,1,0,0,Unknown,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,0,0
45677,1,1,1,0,0,0,0,Married,No diploma/GED,Unknown,0,0,1,0,0,1
22026,0,1,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
19501,1,1,1,0,0,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,1,0
60007,0,0,0,0,1,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
13383,0,0,0,0,0,1,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,0
42547,1,1,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
9285,1,1,1,0,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,0
2769,1,1,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,1,0
22820,0,0,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,1,0
6119,0,0,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
8952,0,0,0,0,0,0,1,Married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,1
8244,0,1,0,0,1,0,0,Married,Diploma/GED,Unknown,0,0,0,0,0,1
11797,0,1,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
53103,0,0,1,0,0,0,0,Married,Unknown,Worked 13 weeks or more in prior year,1,0,1,0,1,0
6432,0,0,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,1,0,1
0,1,1,0,0,0,1,0,Married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,0,0
0,1,1,1,0,0,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,1,0,0,1,1,0
20014,1,1,0,1,0,0,0,Married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,0,1
0,0,0,0,0,1,0,0,Unknown,No diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,1,0
26700,1,1,0,0,1,0,0,Married,Diploma/GED,Unknown,0,1,1,0,0,1
16194,0,1,0,1,0,0,0,Not married,Unknown,Worked 13 weeks or more in prior year,1,0,0,1,0,0
51495,0,1,1,0,0,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,1,0
3423,0,0,0,0,1,0,0,Not married,Unknown,Worked 13 weeks or more in prior year,1,0,1,0,0,0
13500,1,1,0,0,0,0,0,Married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,1,0
2874,1,1,0,0,0,1,0,Married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,1,0
45968,0,1,0,1,0,0,0,Not married,Unknown,Worked less than 13 weeks in prior year,0,0,1,0,0,1
29458,0,0,1,0,0,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,1,1,0,1,0
24365,1,1,0,0,1,0,0,Unknown,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,1,0
3999,1,1,0,0,1,0,0,Unknown,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,1,0
43734,0,1,0,0,1,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
83989,0,0,0,0,0,1,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,1,1,0,0,0
4881,1,1,1,0,0,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,0
0,0,0,0,0,0,1,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,1,0
0,0,0,0,0,0,0,1,Not married,Diploma/GED,Unknown,0,0,0,0,0,1
37122,0,0,0,0,0,1,0,Married,Unknown,Worked 13 weeks or more in prior year,0,0,0,0,0,1
40305,0,1,1,0,0,0,0,Married,No diploma/GED,Unknown,0,0,0,1,0,0
225,0,1,1,0,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,0,0
2824,0,0,0,0,0,0,0,Married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,1
10371,0,0,0,0,1,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,1,0,0,1,0,1
25585,1,1,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,1,0,1,1,0
17470,1,1,0,0,0,1,0,Married,No diploma/GED,Worked 13 weeks or more in prior year,0,1,1,0,1,0
0,1,1,0,0,0,1,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,1,0
5854,0,0,0,0,0,1,0,Unknown,Diploma/GED,Worked less than 13 weeks in prior year,1,0,0,1,1,0
10047,0,0,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,0
62424,0,0,0,0,0,1,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
13023,1,1,0,1,0,0,0,Unknown,Unknown,Worked 13 weeks or more in prior year,0,0,1,0,0,1
0,1,1,0,0,0,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,1
0,0,1,0,1,0,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,0,0
4302,0,1,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,0,0
26214,1,1,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,1,0
17943,0,0,1,0,0,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,1,0,0,0,1
0,0,0,0,0,0,1,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,1,0
12586,0,1,0,0,0,1,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
5637,0,1,0,0,0,0,1,Not married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,1
1935,0,0,0,0,0,0,0,Married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,1
11619,0,1,0,0,0,0,1,Unknown,Diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,0,0
5992,0,1,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
2993,0,0,0,0,0,1,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,0
0,0,0,0,0,0,1,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,1
22614,0,1,0,0,1,0,0,Not married,No diploma/GED,Unknown,0,0,0,0,0,1
30894,0,1,0,0,0,1,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
22636,1,1,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,1,0
22895,0,1,0,0,0,1,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
9343,0,1,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,0,0,0,0
17181,0,1,0,0,0,0,1,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
1611,1,1,0,0,1,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,1,0
1455,0,0,1,0,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,1,0
14757,1,1,1,0,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,0
0,0,1,0,0,0,1,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,0,1,1,0
11636,0,1,0,1,0,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
201,1,1,0,0,1,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,0,0
17739,0,1,0,1,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,0,1
8284,0,0,0,0,0,1,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
0,0,1,0,0,0,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
31312,1,1,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,1,0,1
17038,1,1,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,1,0
325,1,1,0,0,0,1,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,1
17160,1,1,0,0,1,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,1,0
19329,1,1,0,0,1,0,0,Married,Unknown,Worked 13 weeks or more in prior year,0,1,0,0,1,0
15841,0,0,0,0,0,0,1,Not married,Unknown,Unknown,0,0,0,0,0,0
7551,0,0,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
15,1,1,0,0,0,1,0,Not married,Diploma/GED,Unknown,1,0,0,1,0,1
4939,0,1,0,1,0,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,0
65781,0,1,0,0,0,1,0,Married,Unknown,Worked 13 weeks or more in prior year,0,0,1,0,0,0
1956,0,0,0,0,0,1,0,Married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
0,1,1,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,0,0,0,1
4446,0,1,1,0,0,0,0,Not married,Diploma/GED,Unknown,0,0,1,0,0,0
9449,1,1,0,1,0,0,0,Married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,1,0,1
31774,0,1,0,0,0,1,0,Unknown,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,0
15361,0,0,0,0,1,0,0,Not married,Diploma/GED,Unknown,0,0,0,0,1,0
27546,1,1,0,1,0,0,0,Married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,1,0
1440,0,1,0,1,0,0,0,Unknown,No diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,0
14295,1,1,1,0,0,0,0,Not married,Diploma/GED,Unknown,1,0,1,0,0,0
57159,0,0,0,1,0,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,1,1,0,0,1
285,0,0,0,0,0,1,0,Not married,No diploma/GED,Unknown,1,0,0,1,1,0
7898,1,1,0,0,1,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,1,0
34745,0,0,0,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
3779,0,0,0,0,1,0,0,Unknown,Diploma/GED,Unknown,0,0,0,0,1,0
247,1,1,0,1,0,0,0,Married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,1,0
22289,0,0,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,0,1,0,1
8550,1,1,0,0,0,1,0,Married,Diploma/GED,Unknown,0,0,1,0,0,1
700,0,1,1,0,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,0,0
16977,0,0,0,0,0,0,1,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
19416,0,1,0,0,1,0,0,Married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,1
35986,1,1,0,0,0,1,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,1,0
7591,1,1,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,0,1,0,1
21561,1,1,0,1,0,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,1,1,0,0,1
4968,0,1,0,1,0,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
13367,0,0,0,0,0,1,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,1,0,1,0,0
15471,1,1,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
6489,0,1,0,0,1,0,0,Married,Diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,0,0
337,0,0,0,1,0,0,0,Married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,1
510,0,1,0,0,1,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,0,1
62715,1,1,0,0,0,1,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,0
0,1,1,0,0,1,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,0
56963,1,1,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
4998,1,1,0,0,1,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,0,0
0,1,1,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
22951,1,1,0,1,0,0,0,Unknown,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,0
43748,1,1,0,0,0,0,1,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
79720,0,0,0,0,0,1,0,Unknown,Unknown,Worked less than 13 weeks in prior year,0,1,1,0,0,1
5130,1,1,0,1,0,0,0,Not married,Unknown,Worked 13 weeks or more in prior year,1,0,0,1,1,0
2613,1,1,0,0,1,0,0,Married,No diploma/GED,Worked less than 13 weeks in prior year,0,1,0,0,1,0
14145,1,1,1,0,0,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
9755,0,0,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,1,0
0,0,0,1,0,0,0,0,Unknown,Unknown,Worked less than 13 weeks in prior year,0,0,1,0,0,0
14529,1,1,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
13346,1,1,1,0,0,0,0,Not married,No diploma/GED,Unknown,1,0,0,0,0,0
12773,0,0,0,0,1,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,1,0
24807,0,0,0,1,0,0,0,Unknown,No diploma/GED,Worked 13 weeks or more in prior year,1,0,0,0,0,0
2115,1,1,1,0,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,1,0,0,1,1,0
0,0,0,0,0,1,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,0,0
243,1,1,1,0,0,0,0,Unknown,Diploma/GED,Worked less than 13 weeks in prior year,1,0,0,1,0,0
150,0,0,0,0,1,0,0,Not married,Diploma/GED,Unknown,0,0,1,0,0,0
28249,0,1,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,0,1,0,1
2865,1,1,0,1,0,0,0,Married,Diploma/GED,Unknown,0,0,0,0,0,0
0,0,0,0,1,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,0,0
447,0,0,0,1,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,1,0
960,0,0,0,0,1,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,1,0
